code,title,prerequisite,prerequisite_link,dept_link
POLS 3323,"Race, Inequality, and the Law",,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 3324,Law and Society,,,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 3405,International Political Economy,POLS 1160,https://catalog.northeastern.edu/search/?P=POLS%201160,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 3406,International Law,POLS 1160,https://catalog.northeastern.edu/search/?P=POLS%201160,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 3409,Global Governance,POLS 1160,https://catalog.northeastern.edu/search/?P=POLS%201160,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 3418,Nationalism,POLS 1155,https://catalog.northeastern.edu/search/?P=POLS%201155,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 3418,Nationalism,POLS 1160,https://catalog.northeastern.edu/search/?P=POLS%201160,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 3420,U.S,POLS 1155,https://catalog.northeastern.edu/search/?P=POLS%201155,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 3420,U.S,POLS 1160,https://catalog.northeastern.edu/search/?P=POLS%201160,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 3423,Terrorism and Counterterrorism,POLS 1150,https://catalog.northeastern.edu/search/?P=POLS%201150,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 3423,Terrorism and Counterterrorism,POLS 1155,https://catalog.northeastern.edu/search/?P=POLS%201155,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 3423,Terrorism and Counterterrorism,POLS 1160,https://catalog.northeastern.edu/search/?P=POLS%201160,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 3425,U.S,POLS 1150,https://catalog.northeastern.edu/search/?P=POLS%201150,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 3425,U.S,POLS 1160,https://catalog.northeastern.edu/search/?P=POLS%201160,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 3430,"Revolution, Civil War, and Insurrection",POLS 1160,https://catalog.northeastern.edu/search/?P=POLS%201160,https://catalog.northeastern.edu/course-descriptions/pols/
POLS 3435,Politics and Governance of Europe and the European Union,POLS 1155,https://catalog.northeastern.edu/search/?P=POLS%201155,https://catalog.northeastern.edu/course-descriptions/pols/
